basis,mode_index,energy_meV,ipr,gamma_over_gamma0
radiative_eigenmode,56,-71.5649392623,22.808646197,2.49626212366e-14
radiative_eigenmode,57,-157.462872663,27.217108845,2.65759440397e-14
radiative_eigenmode,58,-135.949582396,44.6411531082,2.70025613249e-14
radiative_eigenmode,59,-89.7934253831,35.3919669241,2.77049466667e-14
radiative_eigenmode,60,-87.4162183222,23.0563156247,3.14060528263e-14
radiative_eigenmode,61,-152.066048276,30.6177621304,3.33893586027e-14
radiative_eigenmode,62,-191.951189948,25.5766564949,3.41702214059e-14
radiative_eigenmode,63,-178.851413939,38.804239454,3.55261510553e-14
radiative_eigenmode,64,-174.807565103,27.0130831566,3.92314077877e-14
radiative_eigenmode,65,-200.36260067,31.5715548391,4.04510180128e-14
radiative_eigenmode,66,-253.122434391,49.4628288846,4.47284292538e-14
radiative_eigenmode,67,-228.047404126,18.2144861734,4.50848461833e-14
radiative_eigenmode,68,-244.757287848,14.2654687695,4.70962071203e-14
radiative_eigenmode,69,-286.960197365,25.1457659848,5.53647743011e-14
radiative_eigenmode,70,-224.827101052,9.8867905126,5.66548841744e-14
radiative_eigenmode,71,-299.316259607,23.7687189208,6.0620491647e-14
radiative_eigenmode,72,66.8231751873,35.3888163325,1.56501224078e-13
radiative_eigenmode,73,-425.170309667,51.9562422509,1.97671559764e-13
radiative_eigenmode,74,-119.023290274,33.7947768725,2.00390640341e-13
radiative_eigenmode,75,-128.061543613,45.1597880514,2.01845717214e-13
radiative_eigenmode,76,-57.5482818559,54.4893853032,6.33455041943e-13
radiative_eigenmode,77,-50.1635115281,54.5158410749,6.56338469408e-13
radiative_eigenmode,78,-232.339749956,49.0530395172,6.70207236495e-13
radiative_eigenmode,79,0.743845034585,64.7362194609,8.88289132015e-13
radiative_eigenmode,80,18.3303238883,65.7563239791,8.93785565396e-13
radiative_eigenmode,81,-153.362326866,53.0254860469,1.1964801798e-12
radiative_eigenmode,82,-143.342599001,53.7653606775,1.20015020255e-12
radiative_eigenmode,83,-465.937235816,86.0370729387,1.41641449929e-11
radiative_eigenmode,84,-470.182349885,86.6525472935,1.42093768769e-11
radiative_eigenmode,85,304.994453292,47.4410402334,3.22193744897e-11
radiative_eigenmode,86,256.831846402,47.1826086459,3.2669757658e-11
radiative_eigenmode,87,-353.077300503,48.1847199895,1.84317538678e-10
radiative_eigenmode,88,-365.553870131,49.0565620437,1.85250761281e-10
radiative_eigenmode,89,173.969400103,67.2558449014,3.66694659974e-10
radiative_eigenmode,90,131.283258667,66.388681847,3.67559444122e-10
radiative_eigenmode,91,-185.925961579,43.4265658234,6.35257562308e-10
radiative_eigenmode,92,-205.954925177,44.9581282537,6.42797006785e-10
radiative_eigenmode,93,3.80190523684,53.4571541507,8.37747844996e-10
radiative_eigenmode,94,-31.8163116712,52.0526316667,8.50345168542e-10
radiative_eigenmode,95,279.206179825,94.2991663204,1.02469533603e-09
radiative_eigenmode,96,-395.293384389,86.3760218195,1.54045445139e-08
radiative_eigenmode,97,-399.548115066,86.6361742335,1.5415823128e-08
radiative_eigenmode,98,269.308251412,67.309705965,4.73019398766e-08
radiative_eigenmode,99,229.084387556,66.048264195,4.76021886298e-08
radiative_eigenmode,100,-228.764925174,48.6794533645,1.64319859409e-07
radiative_eigenmode,101,-242.046723737,49.0065021071,1.64677897322e-07
radiative_eigenmode,102,95.0044020514,54.6614768495,3.144985802e-07
radiative_eigenmode,103,133.951724913,55.8481668854,3.160819562e-07
radiative_eigenmode,104,-58.1338907356,44.57282103,4.18036562362e-07
radiative_eigenmode,105,-29.5626580205,43.9978766022,4.18973631827e-07
radiative_eigenmode,106,252.274598706,84.0616940513,8.81941416198e-07
radiative_eigenmode,107,-269.786350878,86.4528722722,1.10341302609e-05
radiative_eigenmode,108,-274.247459188,86.6138235587,1.10401358351e-05
radiative_eigenmode,109,233.540441013,56.3359212246,3.93812505758e-05
radiative_eigenmode,110,201.435353165,55.6277550716,3.94940785367e-05
radiative_eigenmode,111,-79.7379046139,48.4331699206,9.04901495415e-05
radiative_eigenmode,112,-93.1157117116,49.0073011914,9.08029536986e-05
radiative_eigenmode,113,100.216809781,45.041106153,0.000141964294201
radiative_eigenmode,114,76.6040635668,44.4918962376,0.000142264530062
radiative_eigenmode,115,221.008993876,68.0824583933,0.000396993384847
radiative_eigenmode,116,-118.505238646,86.5180226649,0.00464126100005
radiative_eigenmode,117,-123.092462083,86.6118500897,0.00464277468194
radiative_eigenmode,118,172.923900422,44.7689092568,0.0163671029701
radiative_eigenmode,119,197.603281353,44.8912765526,0.0163708468355
radiative_eigenmode,120,47.4411910167,49.2357814396,0.0265132136352
radiative_eigenmode,121,62.8279962828,49.0540221283,0.0265555882249
radiative_eigenmode,122,189.588202356,73.9278259158,0.0744990212313
radiative_eigenmode,123,23.8672180458,86.4871032138,0.942143992343
radiative_eigenmode,124,19.2219748854,86.5901256716,0.942444059003
radiative_eigenmode,125,160.986766003,49.5753875718,2.85200385315
radiative_eigenmode,126,146.46793059,49.5312643814,2.86148051055
radiative_eigenmode,127,158.84383019,118.885314012,3.1770360384
radiative_eigenmode,128,119.9401078,86.5161117056,59.5269541855
radiative_eigenmode,129,124.516637344,86.5161039618,59.5273812781
