dataset_id,snr,snr_c,fdm_lite,psi_lite,iqi_spec,delta_lambda_over_fwhm,delta_bic,p_doublet,peak_nm,prep_stability,p_boundary
pubchem::249332,278,300,-0.0733333,0.05,0.836317,,,,,0.95,0.05
pubchem::28780,4,300,-0.986667,0.05,0.0120333,,,,,0.95,0.05
pubchem::28780,,300,,0.05,,,1995,1,,0.95,0.05
pubchem::28780,,300,,0.05,,,1995,1,,0.95,0.05
pubchem::28780,,300,,0.05,,,1995,1,,0.95,0.05
pubchem::28780,10,300,-0.966667,0.05,0.0300833,,,,,0.95,0.05
pubchem::28780,5,300,-0.983333,0.05,0.0150417,,,,,0.95,0.05
pubchem::28780,379129,300,1262.76,0.05,0.9025,,,,,0.95,0.05
pubchem::28780,1,300,-0.996667,0.05,0.00300833,,,,,0.95,0.05
pubchem::28780,1,300,-0.996667,0.05,0.00300833,,,,,0.95,0.05
pubchem::28780,1,300,-0.996667,0.05,0.00300833,,,,,0.95,0.05
pubchem::28780,1,300,-0.996667,0.05,0.00300833,,,,,0.95,0.05
pubchem::28780,180.1,300,-0.399667,0.05,0.541801,,,,,0.95,0.05
pubchem::28780,89,300,-0.703333,0.05,0.267742,,,,,0.95,0.05
pubchem::28780,89,300,-0.703333,0.05,0.267742,,,,,0.95,0.05
pubchem::28780,89,300,-0.703333,0.05,0.267742,,,,,0.95,0.05
pubchem::28780,1,300,-0.996667,0.05,0.00300833,,,,,0.95,0.05
pubchem::28780,180.1,300,-0.399667,0.05,0.541801,,,,,0.95,0.05
pubchem::28780,2004,300,5.68,0.05,0.9025,,,,,0.95,0.05
pubchem::28780,2004,300,5.68,0.05,0.9025,,,,,0.95,0.05
pubchem::28780,2008,300,5.69333,0.05,0.9025,,,,,0.95,0.05
pubchem::28780,2008,300,5.69333,0.05,0.9025,,,,,0.95,0.05
pubchem::28780,70,300,-0.766667,0.05,0.210583,,,,,0.95,0.05
pubchem::28780,15,300,-0.95,0.05,0.045125,,,,,0.95,0.05
pubchem::28780,7.2,300,-0.976,0.05,0.02166,,,,,0.95,0.05
pubchem::28780,7.2,300,-0.976,0.05,0.02166,,,,,0.95,0.05
pubchem::28780,7.2,300,-0.976,0.05,0.02166,,,,,0.95,0.05
pubchem::28780,7.2,300,-0.976,0.05,0.02166,,,,,0.95,0.05
pubchem::28780,832,300,1.77333,0.05,0.9025,,,,,0.95,0.05
