dataset_id,source_file,doi,title,year,technique_tag
crossref::10.1007/978-94-011-3392-0_9,data\raw\public_api\20260425T115542Z\crossref_microtubule_spectroscopy.json,10.1007/978-94-011-3392-0_9,A Raman Spectroscopic Study of Microtubule Protein,1991,raman
europepmc::41381485,data\raw\public_api\20260425T115542Z\europepmc_microtubule_spectroscopy.json,10.1038/s41467-025-67319-x,Biocompatible sulfonium-based covalent probes for endogenous tubulin fluorescence nanoscopy in live and fixed cells.,2025,fluorescence
europepmc::34692217,data\raw\public_api\20260425T115542Z\europepmc_microtubule_spectroscopy.json,10.1364/boe.433240,Disassembly of microtubules by intense terahertz pulses.,2021,thz
europepmc::41381485,data\raw\public_api\20260425T115542Z\europepmc_microtubule_spectroscopy.json,10.1038/s41467-025-67319-x,Biocompatible sulfonium-based covalent probes for endogenous tubulin fluorescence nanoscopy in live and fixed cells.,2025,fluorescence
europepmc::34692217,data\raw\public_api\20260425T115542Z\europepmc_microtubule_spectroscopy.json,10.1364/boe.433240,Disassembly of microtubules by intense terahertz pulses.,2021,thz
europepmc::41381485,data\raw\public_api\20260425T115542Z\europepmc_microtubule_spectroscopy.json,10.1038/s41467-025-67319-x,Biocompatible sulfonium-based covalent probes for endogenous tubulin fluorescence nanoscopy in live and fixed cells.,2025,fluorescence
europepmc::34692217,data\raw\public_api\20260425T115542Z\europepmc_microtubule_spectroscopy.json,10.1364/boe.433240,Disassembly of microtubules by intense terahertz pulses.,2021,thz
europepmc::41381485,data\raw\public_api\20260425T115542Z\europepmc_microtubule_spectroscopy.json,10.1038/s41467-025-67319-x,Biocompatible sulfonium-based covalent probes for endogenous tubulin fluorescence nanoscopy in live and fixed cells.,2025,fluorescence
europepmc::34692217,data\raw\public_api\20260425T115542Z\europepmc_microtubule_spectroscopy.json,10.1364/boe.433240,Disassembly of microtubules by intense terahertz pulses.,2021,thz
europepmc::41381485,data\raw\public_api\20260425T115542Z\europepmc_microtubule_spectroscopy.json,10.1038/s41467-025-67319-x,Biocompatible sulfonium-based covalent probes for endogenous tubulin fluorescence nanoscopy in live and fixed cells.,2025,fluorescence
